timestamps,TP9,AF7,AF8,TP10,Right AUX
1712217077.481,-48.340,-33.203,-29.297,-43.457,0.000
1712217077.487,-61.035,-34.180,-34.180,-42.969,0.000
1712217077.491,-58.594,-31.250,-31.250,-41.016,0.000
1712217077.495,-45.898,-37.598,-30.273,-30.762,0.000
1712217077.498,-55.664,-34.180,-37.109,-39.062,0.000
1712217077.502,-44.434,-24.414,-29.785,-38.086,0.000
1712217077.506,-59.082,-26.855,-25.879,-34.668,0.000
1712217077.509,-72.266,-38.574,-32.227,-40.039,0.000
1712217077.513,-44.922,-31.250,-38.574,-47.852,0.000
1712217077.517,-35.156,-28.809,-42.480,-44.922,0.000
1712217077.520,-46.387,-39.551,-34.180,-24.414,0.000
1712217077.524,-49.805,-33.691,-37.109,-35.645,0.000
1712217077.527,-41.992,-27.832,-37.598,-46.875,0.000
1712217077.534,-26.855,-32.227,-30.273,-25.879,0.000
1712217077.538,-27.344,-33.203,-38.086,-30.273,0.000
1712217077.541,-21.484,-33.691,-39.551,-34.180,0.000
1712217077.545,-22.949,-38.574,-40.527,-31.738,0.000
1712217077.548,-41.504,-44.922,-42.480,-38.086,0.000
1712217077.552,-36.621,-38.574,-49.316,-31.250,0.000
1712217077.556,-46.875,-35.156,-55.664,-33.691,0.000
1712217077.559,-32.227,-40.039,-40.527,-35.156,0.000
1712217077.563,-29.785,-50.293,-30.273,-25.879,0.000
1712217077.567,-48.340,-38.086,-39.551,-33.203,0.000
1712217077.570,-35.645,-37.598,-34.668,-32.715,0.000
1712217077.574,-9.277,-24.414,-30.273,-27.832,0.000
1712217077.580,-19.043,-27.832,-33.691,-21.484,0.000
1712217077.584,-34.668,-49.316,-35.156,-14.648,0.000
1712217077.588,-23.438,-32.227,-36.621,-24.414,0.000
1712217077.591,-28.809,-41.016,-36.621,-23.438,0.000
1712217077.595,-33.691,-40.527,-40.039,-33.691,0.000
1712217077.599,-10.254,-27.832,-40.527,-37.598,0.000
1712217077.602,-24.414,-25.879,-36.621,-33.691,0.000
1712217077.606,-31.738,-27.832,-40.527,-24.414,0.000
1712217077.610,-23.926,-35.156,-41.504,-24.414,0.000
1712217077.613,-30.273,-33.203,-40.039,-32.227,0.000
1712217077.617,-39.551,-28.320,-45.898,-45.898,0.000
