channel,band,feature_type,window_shift,subject_id,mean_correlation
AF8,delta,energy,win-1,10,-0.21795472797951881
AF8,delta,energy,win-2,10,-0.22667244762625544
AF8,delta,energy,win-3,10,-0.23097515007502328
AF8,delta,energy,win-4,10,-0.23149850668707642
AF8,delta,energy,win-5,10,-0.23257845958603426
AF8,delta,energy,win-6,10,-0.23310033079621742
AF8,delta,energy,win-7,10,-0.24116920496265684
AF8,delta,energy,win-8,10,-0.23950891886766393
AF8,delta,energy,win-9,10,-0.2462467583099783
AF8,delta,energy,win0,10,-0.22353336941876245
AF8,delta,skewness,win-1,10,-0.016607128268854902
AF8,delta,skewness,win-2,10,-0.02254313058947896
AF8,delta,skewness,win-3,10,-0.018093364770127907
AF8,delta,skewness,win-4,10,-0.031567059283511806
AF8,delta,skewness,win-5,10,-0.009101141363908351
AF8,delta,skewness,win-6,10,-0.02096294356893004
AF8,delta,skewness,win-7,10,-0.009938377803865132
AF8,delta,skewness,win-8,10,-0.015492903076747326
AF8,delta,skewness,win-9,10,-0.011836594476811764
AF8,delta,skewness,win0,10,-0.02497978000472472
AF8,delta,standard_deviation,win-1,10,-0.20619970273393545
AF8,delta,standard_deviation,win-2,10,-0.2116580138131522
AF8,delta,standard_deviation,win-3,10,-0.2142809954979109
AF8,delta,standard_deviation,win-4,10,-0.2135600624778051
AF8,delta,standard_deviation,win-5,10,-0.21396746971593425
AF8,delta,standard_deviation,win-6,10,-0.21172447752959891
AF8,delta,standard_deviation,win-7,10,-0.2167658274225258
AF8,delta,standard_deviation,win-8,10,-0.21322857132938164
AF8,delta,standard_deviation,win-9,10,-0.21666296967774645
AF8,delta,standard_deviation,win0,10,-0.21203813368810265
AF8,delta,total_variation,win-1,10,-0.20259403939878326
AF8,delta,total_variation,win-2,10,-0.20641699627086516
AF8,delta,total_variation,win-3,10,-0.20880358415550845
AF8,delta,total_variation,win-4,10,-0.2082149516537129
AF8,delta,total_variation,win-5,10,-0.20928086917043018
AF8,delta,total_variation,win-6,10,-0.20730596220678776
AF8,delta,total_variation,win-7,10,-0.21422169697559507
AF8,delta,total_variation,win-8,10,-0.20997576115998434
AF8,delta,total_variation,win-9,10,-0.21372674128742908
AF8,delta,total_variation,win0,10,-0.2077783584896815
AF8,gamma,approx_entropy,win-1,10,0.07472081848043752
AF8,gamma,approx_entropy,win-2,10,0.09025740277470824
AF8,gamma,approx_entropy,win-3,10,0.08379095339569319
AF8,gamma,approx_entropy,win-4,10,0.08092828357068786
AF8,gamma,approx_entropy,win-5,10,0.08085501939902473
AF8,gamma,approx_entropy,win-6,10,0.07864107617930774
AF8,gamma,approx_entropy,win-7,10,0.08726391464081296
AF8,gamma,approx_entropy,win-8,10,0.0893905116224392
AF8,gamma,approx_entropy,win-9,10,0.09380264448844247
AF8,gamma,approx_entropy,win0,10,0.0638759470452133
AF8,gamma,energy,win-1,10,-0.028926725431172095
AF8,gamma,energy,win-2,10,-0.032296224915790664
AF8,gamma,energy,win-3,10,-0.033008479703062664
AF8,gamma,energy,win-4,10,-0.031199530392154874
AF8,gamma,energy,win-5,10,-0.011509758894290779
AF8,gamma,energy,win-6,10,-0.014814328050012227
AF8,gamma,energy,win-7,10,-0.007375865864855695
AF8,gamma,energy,win-8,10,0.0066566184928841254
AF8,gamma,energy,win-9,10,0.0011126780039640057
AF8,gamma,energy,win0,10,-0.03331289912922488
AF8,gamma,skewness,win-1,10,-0.0076685562702020335
AF8,gamma,skewness,win-2,10,0.011270947436802767
AF8,gamma,skewness,win-3,10,0.007904736900238931
AF8,gamma,skewness,win-4,10,0.02579814143122955
AF8,gamma,skewness,win-5,10,0.013700390127731922
AF8,gamma,skewness,win-6,10,-0.00582666686252769
AF8,gamma,skewness,win-7,10,-0.024899456339951748
AF8,gamma,skewness,win-8,10,-0.010225138415643275
AF8,gamma,skewness,win-9,10,-0.01766308659619882
AF8,gamma,skewness,win0,10,0.01636794796081672
AF8,gamma,standard_deviation,win-1,10,-0.027091958608316945
AF8,gamma,standard_deviation,win-2,10,-0.02607374917798037
AF8,gamma,standard_deviation,win-3,10,-0.02501225083645519
AF8,gamma,standard_deviation,win-4,10,-0.025737308623661692
AF8,gamma,standard_deviation,win-5,10,-0.009719283286597998
AF8,gamma,standard_deviation,win-6,10,-0.011933438883747784
AF8,gamma,standard_deviation,win-7,10,-0.001607602581630111
AF8,gamma,standard_deviation,win-8,10,0.01140207913519569
AF8,gamma,standard_deviation,win-9,10,0.007647115306381682
AF8,gamma,standard_deviation,win0,10,-0.027759266186158368
AF8,gamma,total_variation,win-1,10,0.004090636724378602
AF8,gamma,total_variation,win-2,10,0.007967079516845811
AF8,gamma,total_variation,win-3,10,0.009825419197284224
