channel,band,feature_type,window_shift,subject_id,mean_correlation
AF8,beta,total_variation,win-9,1,0.0473234843336215
AF8,beta,total_variation,win0,1,0.0182690162740363
AF8,delta,approx_entropy,win-1,1,0.014549484359564
AF8,delta,approx_entropy,win-2,1,0.0120473804377365
AF8,delta,approx_entropy,win-3,1,0.0207827926594109
AF8,delta,approx_entropy,win-4,1,0.0362605699925254
AF8,delta,approx_entropy,win-5,1,0.0309723020804443
AF8,delta,approx_entropy,win-6,1,0.0270274219088308
AF8,delta,approx_entropy,win-7,1,0.0275400634447866
AF8,delta,approx_entropy,win-8,1,0.0244318980840843
AF8,delta,approx_entropy,win-9,1,0.0392264435307268
AF8,delta,approx_entropy,win0,1,0.0031203309801029
AF8,delta,energy,win-1,1,0.1037174537732802
AF8,delta,energy,win-2,1,0.1027820230971
AF8,delta,energy,win-3,1,0.1061966179984904
AF8,delta,energy,win-4,1,0.1041960567860522
AF8,delta,energy,win-5,1,0.1082963630310331
AF8,delta,energy,win-6,1,0.1072063101708495
AF8,delta,energy,win-7,1,0.1102816665444745
AF8,delta,energy,win-8,1,0.1085031686664062
AF8,delta,energy,win-9,1,0.1139145814671572
AF8,delta,energy,win0,1,0.1027963844781199
AF8,delta,skewness,win-1,1,-0.018294586221738
AF8,delta,skewness,win-2,1,-0.0351217445176941
AF8,delta,skewness,win-3,1,-0.0215071047639429
AF8,delta,skewness,win-4,1,-0.023964289389018
AF8,delta,skewness,win-5,1,-0.0247824736526078
AF8,delta,skewness,win-6,1,0.0088125074500543
AF8,delta,skewness,win-7,1,0.013557191220131
AF8,delta,skewness,win-8,1,0.0099728031894419
AF8,delta,skewness,win-9,1,0.0106061830006154
AF8,delta,skewness,win0,1,-0.0391309853982416
AF8,delta,standard_deviation,win-1,1,0.0979354227171914
AF8,delta,standard_deviation,win-2,1,0.0979396530950359
AF8,delta,standard_deviation,win-3,1,0.1005043967536474
AF8,delta,standard_deviation,win-4,1,0.098119968575876
AF8,delta,standard_deviation,win-5,1,0.1019235104337252
AF8,delta,standard_deviation,win-6,1,0.1008342790729546
AF8,delta,standard_deviation,win-7,1,0.104212447904929
AF8,delta,standard_deviation,win-8,1,0.1019867764163924
AF8,delta,standard_deviation,win-9,1,0.1066456591992571
AF8,delta,standard_deviation,win0,1,0.0981793603887555
AF8,delta,total_variation,win-1,1,0.0947424739910688
AF8,delta,total_variation,win-2,1,0.0940387739390131
AF8,delta,total_variation,win-3,1,0.0963566648589684
AF8,delta,total_variation,win-4,1,0.0957086163003726
AF8,delta,total_variation,win-5,1,0.0983850834937991
