timestamps,TP9,AF7,AF8,TP10,Right AUX
1712565394.192,-975.586,-932.617,-587.402,-1000,0
1712565394.197,-181.641,-211.426,-699.219,-229.492,0
1712565394.201,-1000,-1000,-711.914,-892.578,0
1712565394.205,-481.445,-950.195,-604.98,703.613,0
1712565394.209,848.633,251.953,-564.453,-669.434,0
1712565394.212,-877.441,-825.684,-588.867,-1000,0
1712565394.216,77.637,-24.902,-652.344,-287.598,0
1712565394.22,-1000,-1000,-669.434,-999.023,0
1712565394.224,-655.273,-1000,-575.684,958.008,0
1712565394.227,713.867,36.133,-572.266,-309.57,0
1712565394.231,-833.008,-791.016,-597.656,-1000,0
1712565394.235,171.387,103.027,-635.742,-431.152,0
1712565394.238,-1000,-1000,-645.996,896.484,0
1712565394.244,-929.688,-1000,-604.98,-916.992,0
1712565394.248,378.906,-140.625,-580.078,-94.727,0
1712565394.251,-781.25,-804.199,-567.383,-1000,0
1712565394.255,143.555,225.586,-643.066,-696.777,0
1712565394.259,-1000,-1000,-688.965,640.625,0
1712565394.263,-1000,-1000,-603.027,-824.707,0
1712565394.266,75.195,-216.309,-505.371,90.332,0
1712565394.27,-766.602,-833.496,-507.324,-1000,0
1712565394.274,252.441,384.277,-640.137,-915.527,0
1712565394.278,-996.094,-916.504,-700.684,375.977,0
1712565394.281,-1000,-1000,-627.93,-780.762,0
1712565394.285,-33.691,-244.629,-565.43,147.949,0
1712565394.291,-796.387,-888.672,-559.57,-1000,0
1712565394.295,486.328,602.539,-584.473,-1000,0
1712565394.299,-865.723,-707.52,-637.695,131.348,0
1712565394.303,-1000,-1000,-639.648,-765.625,0
1712565394.306,-181.641,-306.152,-549.316,143.066,0
1712565394.31,-894.531,-963.867,-481.934,-1000,0
1712565394.314,749.023,797.852,-511.719,-1000,0
1712565394.318,-614.258,-477.051,-619.141,-33.691,0
1712565394.321,-1000,-1000,-646.973,-776.855,0
1712565394.325,-184.082,-408.691,-537.598,261.719,0
1712565394.329,-981.934,924.805,-483.398,-979.98,0
1712565394.333,-996.582,983.887,-558.105,-1000,0
1712565394.338,-222.656,-193.359,-644.043,-222.656,0
1712565394.342,-1000,-1000,-624.023,-834.473,0
1712565394.345,-165.039,-522.949,-529.785,497.559,0
1712565394.349,990.234,804.199,-511.719,-883.301,0
1712565394.353,-923.34,-899.414,-532.715,-1000,0
1712565394.357,67.383,28.809,-591.309,-225.098,0
1712565394.36,-1000,-1000,-607.422,-905.762,0
1712565394.364,-181.152,-696.289,-541.016,756.348,0
1712565394.368,993.652,625,-505.859,-615.723,0
1712565394.371,-919.434,-836.426,-466.797,-1000,0
1712565394.375,232.91,117.188,-555.664,-188.965,0
1712565394.379,-1000,-1000,-652.344,-969.727,0
1712565394.385,-359.375,-896.973,-545.41,964.844,0
1712565394.389,946.289,347.656,-482.422,-278.32,0
1712565394.393,-903.32,-796.387,-533.691,-1000,0
1712565394.396,223.633,197.754,-610.84,-281.738,0
1712565394.4,-1000,-1000,-621.582,959.473,0
1712565394.404,-546.875,-1000,-537.598,-932.129,0
1712565394.407,844.238,106.445,-484.375,-29.297,0
1712565394.411,-865.723,-795.41,-511.719,-1000,0
1712565394.415,215.82,324.707,-574.219,-430.176,0
1712565394.419,-1000,-947.754,-600.586,884.277,0
1712565394.422,-742.676,-1000,-590.332,-882.812,0
1712565394.426,623.047,-84.961,-543.945,153.32,0
1712565394.432,-817.871,-828.613,-505.371,-1000,0
1712565394.436,331.543,463.379,-583.008,-679.688,0
1712565394.44,-972.168,-843.75,-683.594,702.637,0
1712565394.443,-1000,-1000,-610.352,-830.078,0
1712565394.447,148.926,-187.012,-513.672,165.039,0
1712565394.451,-779.785,-873.047,-504.395,-1000,0
1712565394.455,441.406,594.727,-593.75,-972.168,0
1712565394.458,-885.254,-714.844,-686.523,303.223,0
1712565394.462,-1000,-1000,-574.219,-773.926,0
1712565394.466,-101.074,-257.324,-495.605,142.578,0
1712565394.47,-847.168,-932.617,-562.988,-1000,0
1712565394.473,642.09,752.441,-588.867,-1000,0
1712565394.479,-724.609,-530.273,-669.434,42.48,0
1712565394.483,-1000,-1000,-659.18,-768.066,0
1712565394.487,-202.148,-353.027,-587.402,205.566,0
1712565394.49,-946.777,984.863,-546.875,-1000,0
1712565394.494,895.02,905.273,-568.359,-1000,0
1712565394.498,-415.527,-326.66,-666.992,-136.23,0
1712565394.502,-1000,-1000,-654.297,-803.223,0
1712565394.505,-182.129,-544.434,-556.152,400.879,0
1712565394.509,-977.051,824.219,-511.719,-924.805,0
1712565394.513,997.559,-992.188,-609.863,-1000,0
1712565394.517,-211.914,-216.309,-716.309,-247.07,0
1712565394.52,-1000,-1000,-678.223,-849.121,0
1712565394.526,-321.289,-800.781,-607.422,519.531,0
1712565394.53,957.031,521.973,-594.238,-873.535,0
1712565394.533,-939.941,-900.391,-603.027,-1000,0
1712565394.537,-127.441,-149.902,-696.777,-237.793,0
1712565394.541,-1000,-1000,-714.355,-910.156,0
1712565394.545,-429.199,-980.957,-607.422,749.023,0
1712565394.548,820.312,192.383,-579.102,-608.887,0
1712565394.552,-869.141,-817.871,-573.73,-1000,0
1712565394.556,71.777,-16.602,-648.926,-374.023,0
1712565394.56,-1000,-1000,-744.629,964.844,0
1712565394.564,-779.785,-1000,-652.344,972.656,0
1712565394.567,565.918,-55.664,-581.543,-315.918,0
1712565394.573,-806.152,-799.316,-619.141,-1000,0
1712565394.576,130.859,89.844,-705.566,-603.027,0
1712565394.58,-1000,-1000,-735.352,771.484,0
